kind,precinct,name,room,address,city,zip,bus,extended,note
both,430,Menchaca Road Branch Public Library,Meeting Room,5500 Menchaca Rd,Austin,78745,Yes,0,
both,210,Northwest Recreation Center,Classroom 2,2913 Northland Dr,Austin,78757,Yes,0,
both,177,Pfluger Hall and Conference Center,Great Hall,203 E Pecan St,Pflugerville,78660,No,0,
both,321,Randalls Flagship West Lake Hills,Café,3300 Bee Caves Rd,West Lake Hills,78746,Yes,0,
both,274,Randalls Steiner Ranch,Café,5145 N FM 620,Austin,78732,No,0,
both,262,Riata Trace,Suite 120,12221 Riata Trace Pkwy,Austin,78727,No,0,
both,291,Riverbend Centre,Quad3ABCD,4214 N Capital of Texas Hwy,Austin,78746,No,0,
both,269,RRISD Hartfield Performing Arts Center,Lobby,5800 McNeil Dr,Austin,78729,No,0,
both,260,Shops at Arbor Walk,Suite L,10515 N Mopac Expy,Austin,78759,Yes,0,
both,416,South Austin Recreation Center,Lobby,1100 Cumberland Rd,Austin,78704,Yes,0,
both,308,Travis County Civil and Family Courts Facility,Conference Room,1700 Guadalupe St,Austin,78701,Yes,0,
both,174,Typhoon Texas Waterpark,Main Lobby,18500 TX 130 Service Rd,Pflugerville,78660,No,0,
both,445,Westoak Woods Baptist Church,CMB Room 104,2900 W Slaughter Ln,Austin,78748,Yes,0,
both,414,Wheatsville Food Coop South Lamar,Community Kitchen,4001 S Lamar Blvd,Austin,78704,Yes,0,
both,459,TCC Complex,Lobby,3614 Bill Price Rd,Del Valle,78617,Yes,0,Early voting here Oct 30 only
ed,457,Creedmoor Community Center,Meeting Room,12513 FM 1625,Creedmoor,78610,No,0,
ed,391,Deer Creek Elementary School,MPR,2420 Zeppelin Dr,Cedar Park,78613,No,0,
ed,481,Del Valle ISD Admin Building,Board Meeting Room,5301 Ross Rd,Del Valle,78617,Yes,0,
ed,483,Elroy Community Library,The Learning Center,13512 FM 812,Del Valle,78617,No,0,
ed,145,Ministerios Filadelfia Iglesia Cristiana,Sanctuary,13704 County Line Rd,Elgin,78621,No,0,
ed,396,Round Mountain Baptist Church,Sunday School Classroom,14500 Round Mountain Rd,Leander,78641,No,0,
ed,392,Volente Fire Department,Meeting Space,15406 FM 2769,Leander,78641,No,0,
ed,398,Christ Our Savior Lutheran Church,Fellowship Hall,21900 RM 1431,Lago Vista,78645,No,0,
ed,395,Community Center at Jonestown,Community Room,18649 RM 1431 Ste 6A,Jonestown,78645,Yes,0,
ed,282,K Oaks Clubhouse,Meeting Room,7000 Bar K Ranch Rd,Lago Vista,78645,Yes,0,
ed,280,Northlake Church,The Oak Room,3610 Lohman Ford Rd,Lago Vista,78645,No,0,
ed,336,Manchaca United Methodist Church,Family Life Center,1011 FM 1626,Manchaca,78652,No,0,
ed,126,Eternal Faith Baptist Church,Fellowship Hall,12720 FM 973,Manor,78653,Yes,0,
ed,142,Manor High School Ninth Grade Center,Room G114,12700 Gregg Manor Rd,Manor,78653,No,0,
ed,146,New Sweden Lutheran Church,Foundation Center Room,12809 New Sweden Church Rd,Manor,78653,No,0,
ed,490,Travis County Sheriff East Command,Lobby,7811 Burleson Manor Rd,Manor,78653,No,0,
ed,126,Whisper Valley Discovery and Amenity Center,Media Room,9400 Petrichor Blvd,Manor,78653,No,0,
ed,150,Pflugerville Fire Station No 6,Meeting Room,17401 Weiss Ln,Pflugerville,78660,No,0,
